Genres,Title,Duration,Rating,Vote Count
Action,Dune: Part Two,0 days 02:46:00,8.5,610000
Action,Venom: The Last Dance,0 days 01:50:00,6.0,105000
Action,Gladiator II,0 days 02:28:00,6.6,214000
Action,Sonic the Hedgehog 3,0 days 01:50:00,6.9,51000
Action,The Lord of the Rings: The War of the Rohirrim,0 days 02:14:00,6.3,27000
Action,William Tell,0 days 02:13:00,5.8,1400
Action,Kraven the Hunter,0 days 02:07:00,5.4,42000
Action,Pushpa: The Rule - Part 2,0 days 03:21:00,6.1,53000
Action,Furiosa: A Mad Max Saga,0 days 02:28:00,7.5,279000
Action,Elevation,0 days 01:31:00,5.6,19000
Action,Borderlands,0 days 01:41:00,4.7,45000
Action,Deadpool & Wolverine,0 days 02:08:00,7.6,478000
Action,The Ministry of Ungentlemanly Warfare,0 days 02:02:00,6.8,131000
Action,Civil War,0 days 01:49:00,7.0,231000
Action,The Count of Monte-Cristo,0 days 02:58:00,7.6,32000
Action,Twisters,0 days 02:02:00,6.5,159000
Action,Carry-On,0 days 01:59:00,6.5,158000
Action,The Crow,0 days 01:51:00,4.7,32000
Action,Marco,0 days 02:25:00,7.0,20000
Action,The Fall Guy,0 days 02:06:00,6.8,216000
Action,The Beekeeper,0 days 01:45:00,6.3,152000
Action,Kingdom of the Planet of the Apes,0 days 02:25:00,6.9,149000
Action,Madame Web,0 days 01:56:00,4.0,99000
Action,Homestead,0 days 01:52:00,5.4,3300
Action,Rebel Ridge,0 days 02:11:00,6.8,85000
Action,Red One,0 days 02:03:00,6.3,137000
Action,Thelma,0 days 01:38:00,7.0,21000
Action,Hellboy: The Crooked Man,0 days 01:39:00,4.5,12000
Action,Old Guy,0 days 01:34:00,5.1,1500
Action,Road House,0 days 02:01:00,6.2,165000
Action,Transformers One,0 days 01:44:00,7.6,47000
Action,Attack on Titan the Movie: The Last Attack,0 days 02:25:00,9.3,14000
Action,Bad Boys: Ride or Die,0 days 01:55:00,6.5,98000
Action,Argylle,0 days 02:19:00,5.6,91000
Action,Damsel,0 days 01:50:00,6.1,108000
Action,Solo Leveling: ReAwakening,0 days 02:01:00,8.7,6000
Action,Monkey Man,0 days 02:01:00,6.8,90000
Action,Love Lies Bleeding,0 days 01:44:00,6.6,55000
Action,Aftermath,0 days 01:37:00,5.1,3300
Action,Godzilla x Kong: The New Empire,0 days 01:55:00,6.1,119000
Action,Baby John,0 days 02:39:00,5.4,17000
Action,The Union,0 days 01:47:00,5.4,52000
Action,Freaky Tales,0 days 01:46:00,6.5,362
Action,Land of Bad,0 days 01:53:00,6.6,50000
Action,The Killer's Game,0 days 01:44:00,5.7,16000
Action,Absolution,0 days 01:52:00,5.2,7300
Action,Azrael,0 days 01:26:00,5.4,10000
Action,Drive-Away Dolls,0 days 01:24:00,5.4,23000
Action,Uglies,0 days 01:40:00,4.7,32000
Action,Blitz,0 days 02:00:00,6.2,15000
Action,Arcadian,0 days 01:32:00,5.5,22000
Action,Werewolves,0 days 01:33:00,4.4,5900
Action,Kung Fu Panda 4,0 days 01:34:00,6.3,66000
Action,Descendants: The Rise of Red,0 days 01:31:00,4.7,6900
Action,The Killer,0 days 02:06:00,5.7,12000
Action,Lift,0 days 01:47:00,5.5,49000
Action,Beverly Hills Cop: Axel F,0 days 01:58:00,6.4,80000
Action,The Instigators,0 days 01:41:00,6.2,37000
Action,Weekend in Taipei,0 days 01:40:00,5.7,4300
Action,Apocalypse Z: The Beginning of the End,0 days 01:57:00,6.1,19000
Action,Brothers,0 days 01:29:00,5.4,13000
Action,Maharaja,0 days 02:21:00,8.4,65000
Action,11 Rebels,0 days 02:35:00,6.2,234
Action,Hagen,0 days 02:19:00,6.2,958
Action,Canary Black,0 days 01:41:00,5.4,11000
Action,Watchmen: Chapter I,0 days 01:23:00,7.0,6200
Action,Atlas,0 days 01:58:00,5.6,55000
Action,Long Gone Heroes,0 days 01:41:00,5.2,944
Action,The Silent Hour,0 days 01:39:00,6.1,6900
Action,Kalki 2898 AD,0 days 03:00:00,7.0,66000
Action,Dirty Angels,0 days 01:44:00,4.3,3100
Action,Hitpig,0 days 01:26:00,5.1,813
Action,The Shadow Strays,0 days 02:24:00,6.5,8900
Action,Classified,0 days 01:45:00,3.7,2200
Action,Survive,0 days 01:30:00,4.6,2000
Action,Rebel Moon - Part Two: The Scargiver,0 days 02:02:00,5.3,59000
Action,Cash Out,0 days 01:32:00,4.8,2800
Action,Jackpot!,0 days 01:46:00,5.8,30000
