Genres,Title,Duration,Rating,Vote Count
Adventure,Flow,0 days 01:25:00,7.9,55000
Adventure,Dune: Part Two,0 days 02:46:00,8.5,610000
Adventure,Venom: The Last Dance,0 days 01:50:00,6.0,105000
Adventure,Gladiator II,0 days 02:28:00,6.6,214000
Adventure,Sonic the Hedgehog 3,0 days 01:50:00,6.9,51000
Adventure,The Lord of the Rings: The War of the Rohirrim,0 days 02:14:00,6.3,27000
Adventure,Mufasa: The Lion King,0 days 01:58:00,6.6,47000
Adventure,Furiosa: A Mad Max Saga,0 days 02:28:00,7.5,279000
Adventure,Despicable Me 4,0 days 01:34:00,6.2,62000
Adventure,Borderlands,0 days 01:41:00,4.7,45000
Adventure,Paddington in Peru,0 days 01:46:00,6.7,16000
Adventure,Deadpool & Wolverine,0 days 02:08:00,7.6,478000
Adventure,Moana 2,0 days 01:40:00,6.7,83000
Adventure,Civil War,0 days 01:49:00,7.0,231000
Adventure,The Count of Monte-Cristo,0 days 02:58:00,7.6,32000
Adventure,Twisters,0 days 02:02:00,6.5,159000
Adventure,Inside Out 2,0 days 01:36:00,7.5,210000
Adventure,Kingdom of the Planet of the Apes,0 days 02:25:00,6.9,149000
Adventure,Madame Web,0 days 01:56:00,4.0,99000
Adventure,Red One,0 days 02:03:00,6.3,137000
Adventure,Wallace & Gromit: Vengeance Most Fowl,0 days 01:22:00,7.5,32000
Adventure,Night of the Zoopocalypse,0 days 01:31:00,6.2,291
Adventure,Transformers One,0 days 01:44:00,7.6,47000
Adventure,Attack on Titan the Movie: The Last Attack,0 days 02:25:00,9.3,14000
Adventure,The Return,0 days 01:56:00,6.2,7300
Adventure,Bad Boys: Ride or Die,0 days 01:55:00,6.5,98000
Adventure,Damsel,0 days 01:50:00,6.1,108000
Adventure,Solo Leveling: ReAwakening,0 days 02:01:00,8.7,6000
Adventure,The Day the Earth Blew Up: A Looney Tunes Movie,0 days 01:31:00,6.7,1200
Adventure,Love Lies Bleeding,0 days 01:44:00,6.6,55000
Adventure,Godzilla x Kong: The New Empire,0 days 01:55:00,6.1,119000
Adventure,Ghostbusters: Frozen Empire,0 days 01:55:00,6.1,92000
Adventure,Freaky Tales,0 days 01:46:00,6.5,362
Adventure,The Garfield Movie,0 days 01:41:00,5.7,23000
Adventure,Spaceman,0 days 01:47:00,5.7,42000
Adventure,Uglies,0 days 01:40:00,4.7,32000
Adventure,Kung Fu Panda 4,0 days 01:34:00,6.3,66000
Adventure,Descendants: The Rise of Red,0 days 01:31:00,4.7,6900
Adventure,Harold and the Purple Crayon,0 days 01:30:00,5.7,7800
Adventure,Atlas,0 days 01:58:00,5.6,55000
Adventure,Winner,0 days 01:43:00,6.5,2200
Adventure,A Sloth Story,0 days 01:30:00,5.9,157
Adventure,Kalki 2898 AD,0 days 03:00:00,7.0,66000
Adventure,Hitpig,0 days 01:26:00,5.1,813
Adventure,Arthur the King,0 days 01:47:00,7.0,33000
Adventure,Spellbound,0 days 01:49:00,5.7,6300
Adventure,Survive,0 days 01:30:00,4.6,2000
Adventure,Rebel Moon - Part Two: The Scargiver,0 days 02:02:00,5.3,59000
Adventure,Lost on a Mountain in Maine,0 days 01:38:00,6.2,1100
Adventure,Monster Summer,0 days 01:37:00,5.7,3400
Adventure,Bookworm,0 days 01:43:00,6.0,1700
Adventure,No Way Up,0 days 01:30:00,4.6,10000
