Genres,Title,Duration,Rating,Vote Count
Animation,Flow,0 days 01:25:00,7.9,55000
Animation,The Wild Robot,0 days 01:42:00,8.2,150000
Animation,The Lord of the Rings: The War of the Rohirrim,0 days 02:14:00,6.3,27000
Animation,Mufasa: The Lion King,0 days 01:58:00,6.6,47000
Animation,Despicable Me 4,0 days 01:34:00,6.2,62000
Animation,Moana 2,0 days 01:40:00,6.7,83000
Animation,Spermageddon,0 days 01:20:00,5.7,560
Animation,Inside Out 2,0 days 01:36:00,7.5,210000
Animation,Memoir of a Snail,0 days 01:35:00,7.8,15000
Animation,Wallace & Gromit: Vengeance Most Fowl,0 days 01:22:00,7.5,32000
Animation,Night of the Zoopocalypse,0 days 01:31:00,6.2,291
Animation,Transformers One,0 days 01:44:00,7.6,47000
Animation,IF,0 days 01:44:00,6.4,56000
Animation,Attack on Titan the Movie: The Last Attack,0 days 02:25:00,9.3,14000
Animation,Solo Leveling: ReAwakening,0 days 02:01:00,8.7,6000
Animation,The Day the Earth Blew Up: A Looney Tunes Movie,0 days 01:31:00,6.7,1200
Animation,The Garfield Movie,0 days 01:41:00,5.7,23000
Animation,Kung Fu Panda 4,0 days 01:34:00,6.3,66000
Animation,Harold and the Purple Crayon,0 days 01:30:00,5.7,7800
Animation,Grand Theft Hamlet,0 days 01:29:00,6.9,1500
Animation,Watchmen: Chapter I,0 days 01:23:00,7.0,6200
Animation,A Sloth Story,0 days 01:30:00,5.9,157
Animation,Look Back,0 days 00:58:00,7.8,14000
Animation,Hitpig,0 days 01:26:00,5.1,813
Animation,Spellbound,0 days 01:49:00,5.7,6300
Animation,Piece by Piece,0 days 01:33:00,6.9,5000
Animation,Watchmen: Chapter II,0 days 01:30:00,7.0,2700
Animation,Megamind vs. The Doom Syndicate,0 days 01:23:00,2.5,5400
Animation,Saving Bikini Bottom: The Sandy Cheeks Movie,0 days 01:22:00,3.7,3700
Animation,Orion and the Dark,0 days 01:33:00,6.3,17000
Animation,The Remarkable Life of Ibelin,0 days 01:43:00,8.2,12000
Animation,My Hero Academia: You're Next,0 days 01:50:00,7.0,1900
Animation,That Christmas,0 days 01:31:00,6.8,17000
Animation,Justice League: Crisis on Infinite Earths - Part One,0 days 01:33:00,6.2,8300
Animation,Thelma the Unicorn,0 days 01:33:00,5.7,2900
Animation,The Lost Tiger,0 days 01:30:00,7.8,31
Animation,Justice League: Crisis on Infinite Earths - Part Three,0 days 01:34:00,6.1,4300
Animation,The Most Precious of Cargoes,0 days 01:21:00,7.2,676
Animation,The Tiger's Apprentice,0 days 01:24:00,5.8,2100
Animation,Crayon Shin-chan: Ora's Dinosaur Diary,0 days 01:46:00,6.6,302
Animation,10 Lives,0 days 01:28:00,5.9,1800
Animation,Doraemon the Movie: Nobita's Earth Symphony,0 days 01:55:00,6.6,1400
Animation,Ultraman: Rising,0 days 01:57:00,6.9,6200
Animation,Storm Crashers,0 days 01:28:00,6.3,548
Animation,200% Wolf,0 days 01:38:00,6.0,1300
Animation,Dragonkeeper,0 days 01:38:00,5.7,1600
Animation,Woody Woodpecker Goes to Camp,0 days 01:40:00,4.5,2500
Animation,Limonov: The Ballad of Eddie,0 days 02:18:00,6.0,723
Animation,Dan Da Dan: First Encounter,0 days 01:23:00,8.2,2500
Animation,Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',0 days 01:30:00,8.7,961
Animation,The Colors Within,0 days 01:41:00,7.2,790
Animation,Mars,0 days 01:24:00,8.9,19
Animation,Mononoke the Movie: The Phantom in the Rain,0 days 01:29:00,6.8,1100
Animation,Justice League: Crisis on Infinite Earths - Part Two,0 days 01:34:00,5.5,5200
Animation,Buffalo Kids,0 days 01:33:00,6.6,622
Animation,From Ground Zero,0 days 01:52:00,7.9,489
Animation,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,0 days 01:44:00,7.1,8200
Animation,Shrek 5: The Contract - A Fan Made Film,0 days 01:24:00,7.0,18
Animation,Frida,0 days 01:27:00,7.5,1500
Animation,Haikyu!! The Dumpster Battle,0 days 01:25:00,7.7,6000
Animation,Rebellious,0 days 01:34:00,6.0,155
Animation,Johnny Puff: Secret Mission,0 days 01:27:00,4.8,431
Animation,Overlord: The Sacred Kingdom,0 days 02:15:00,7.0,693
Animation,Ghost Cat Anzu,0 days 01:37:00,6.5,663
Animation,The Night Before Christmas in Wonderland,0 days 01:20:00,6.3,506
Animation,My Freaky Family,0 days 01:26:00,6.5,383
Animation,Ryan's World the Movie: Titan Universe Adventure,0 days 01:20:00,1.8,632
Animation,Savages,0 days 01:27:00,7.0,264
Animation,Lesbian Space Princess,0 days 01:27:00,8.1,95
Animation,Gracie and Pedro: Pets to the Rescue,0 days 01:27:00,5.1,255
Animation,Super-Charlie,0 days 01:20:00,6.4,102
Animation,Boys Go to Jupiter,0 days 01:30:00,7.0,87
Animation,Blue Lock: Episode Nagi,0 days 01:31:00,6.6,2400
Animation,Fox & Hare Save the Forest,0 days 01:11:00,5.9,190
Animation,Noah's Ark,0 days 01:36:00,4.3,623
Animation,White Snake: Afloat,0 days 02:13:00,6.9,426
Animation,My Oni Girl,0 days 01:52:00,6.0,1700
Animation,Kid Santa,0 days 01:38:00,7.6,1500
Animation,The Glassworker,0 days 01:20:00,7.8,97
Animation,Living Large,0 days 01:24:00,7.6,100
Animation,Out of the Nest,0 days 00:46:00,7.1,108
Animation,The Quintessential Quintuplets Specials 2,0 days 01:47:00,7.3,28
Animation,Dalia y el Libro Rojo,0 days 01:24:00,5.5,307
Animation,Panda Bear in Africa,0 days 00:55:00,5.7,1900
Animation,My Redneck Neighbor: Chapter 2 - Let the Games Begin,0 days 01:02:00,7.5,182
Animation,Baki Hanma VS Kengan Ashura,0 days 02:14:00,6.4,432
Animation,Xiong Shi Shao Nian 2,0 days 01:21:00,6.6,922
Animation,No Time to Spy: A Loud House Movie,0 days 02:04:00,7.5,140
Animation,Mobile Suit Gundam SEED Freedom,0 days 01:30:00,6.5,46
Animation,Bocchi the Rock! Re:,0 days 01:01:00,5.6,650
Animation,"Maya, donne-moi un titre",0 days 01:29:00,6.6,103
Animation,The Casagrandes Movie,0 days 01:21:00,7.2,20
Animation,Angelo dans la forêt mystérieuse,0 days 01:40:00,6.7,110
Animation,Taisu Xilie,0 days 00:00:00,6.9,79
Animation,Heartsping : Teenieping of Love,0 days 01:24:00,6.2,528
Animation,Rafadan Tayfa: Kapadokya,0 days 02:24:00,6.8,1400
Animation,Kizumonogatari: Koyomi Vamp,0 days 00:00:00,7.9,86
Animation,Big City Greens the Movie: Spacecation,0 days 01:51:00,7.4,63
Animation,Detective Conan: The Million-Dollar Pentagram,0 days 01:17:00,8.0,56
Animation,Bocchi the Rock! Re: Re:,0 days 01:15:00,5.6,153
Animation,Slocum et moi,0 days 01:45:00,6.4,127
Animation,Sabbath Queen,0 days 01:43:00,7.1,20
Animation,Schirkoa: In Lies We Trust,0 days 01:42:00,7.0,61
Animation,Trapezium,0 days 01:22:00,8.1,76
Animation,Hola Frida,0 days 01:25:00,7.0,135
Animation,Exorcism Chronicles: The Beginning,0 days 01:39:00,6.1,113
Animation,Dongeng Sang Kancil,0 days 02:00:00,5.2,87
Animation,Dead Dead Demon's Dededede Destruction,0 days 01:47:00,8.4,65
Animation,Si Juki the Movie: Harta Pulau Monyet,0 days 01:15:00,5.9,51
Animation,Sanatorium Under the Sign of the Hourglass,0 days 01:22:00,4.9,125
