Genres,Title,Duration,Rating,Vote Count
Family,Flow,0 days 01:25:00,7.9,55000
Family,Sonic the Hedgehog 3,0 days 01:50:00,6.9,51000
Family,Mufasa: The Lion King,0 days 01:58:00,6.6,47000
Family,Despicable Me 4,0 days 01:34:00,6.2,62000
Family,Paddington in Peru,0 days 01:46:00,6.7,16000
Family,Moana 2,0 days 01:40:00,6.7,83000
Family,Inside Out 2,0 days 01:36:00,7.5,210000
Family,Wallace & Gromit: Vengeance Most Fowl,0 days 01:22:00,7.5,32000
Family,Transformers One,0 days 01:44:00,7.6,47000
Family,IF,0 days 01:44:00,6.4,56000
Family,The Day the Earth Blew Up: A Looney Tunes Movie,0 days 01:31:00,6.7,1200
Family,Fear,0 days 01:55:00,8.6,2700
Family,The Garfield Movie,0 days 01:41:00,5.7,23000
Family,The Forge,0 days 02:04:00,6.7,4500
Family,Kung Fu Panda 4,0 days 01:34:00,6.3,66000
Family,Descendants: The Rise of Red,0 days 01:31:00,4.7,6900
Family,Harold and the Purple Crayon,0 days 01:30:00,5.7,7800
Family,A Sloth Story,0 days 01:30:00,5.9,157
Family,Young Hearts,0 days 01:37:00,8.1,4300
Family,How to Make Millions Before Grandma Dies,0 days 02:05:00,8.0,13000
Family,Hitpig,0 days 01:26:00,5.1,813
Family,Spellbound,0 days 01:49:00,5.7,6300
Family,Lost on a Mountain in Maine,0 days 01:38:00,6.2,1100
Family,Piece by Piece,0 days 01:33:00,6.9,5000
Family,Faith of Angels,0 days 01:38:00,5.9,166
Family,Megamind vs. The Doom Syndicate,0 days 01:23:00,2.5,5400
Family,Panda Plan,0 days 01:39:00,5.1,1100
Family,You Gotta Believe,0 days 01:44:00,5.8,1200
Family,My Penguin Friend,0 days 01:37:00,6.7,4600
Family,Unsung Hero,0 days 01:53:00,7.0,4900
Family,Saving Bikini Bottom: The Sandy Cheeks Movie,0 days 01:22:00,3.7,3700
Family,Orion and the Dark,0 days 01:33:00,6.3,17000
Family,Guest from the Future,0 days 02:21:00,6.0,1100
Family,Big World,0 days 02:11:00,7.4,951
Family,The Thundermans Return,0 days 01:10:00,5.0,1800
Family,That Christmas,0 days 01:31:00,6.8,17000
Family,Thelma the Unicorn,0 days 01:33:00,5.7,2900
Family,The Lost Tiger,0 days 01:30:00,7.8,31
Family,Autumn and the Black Jaguar,0 days 01:40:00,5.6,955
Family,The Tiger's Apprentice,0 days 01:24:00,5.8,2100
Family,Crayon Shin-chan: Ora's Dinosaur Diary,0 days 01:46:00,6.6,302
Family,Bambi: A Tale of Life in the Woods,0 days 01:25:00,5.7,149
Family,10 Lives,0 days 01:28:00,5.9,1800
Family,Doraemon the Movie: Nobita's Earth Symphony,0 days 01:55:00,6.6,1400
Family,Ultraman: Rising,0 days 01:57:00,6.9,6200
Family,Storm Crashers,0 days 01:28:00,6.3,548
Family,200% Wolf,0 days 01:38:00,6.0,1300
Family,Woody Woodpecker Goes to Camp,0 days 01:40:00,4.5,2500
Family,Woodwalkers,0 days 01:43:00,5.4,324
Family,Meiyazhagan,0 days 02:57:00,8.4,13000
Family,Runt,0 days 01:31:00,6.4,485
Family,Buffalo Kids,0 days 01:33:00,6.6,622
Family,Bibi Rajni,0 days 02:23:00,8.6,707
Family,Average Joe,0 days 01:40:00,4.2,559
Family,Rebellious,0 days 01:34:00,6.0,155
Family,Der Buchspazierer,0 days 01:38:00,7.3,343
Family,Ghost Cat Anzu,0 days 01:37:00,6.5,663
Family,The Night Before Christmas in Wonderland,0 days 01:20:00,6.3,506
Family,My Freaky Family,0 days 01:26:00,6.5,383
Family,Ryan's World the Movie: Titan Universe Adventure,0 days 01:20:00,1.8,632
Family,Savages,0 days 01:27:00,7.0,264
Family,The Groomsmen: First Look,0 days 01:22:00,6.1,373
Family,Robin and the Hoods,0 days 01:40:00,4.4,504
Family,Man and Witch: The Dance of a Thousand Steps,0 days 01:34:00,5.6,324
Family,Gracie and Pedro: Pets to the Rescue,0 days 01:27:00,5.1,255
Family,And the Breadwinner Is...,0 days 02:03:00,6.8,241
Family,Believe in Christmas,0 days 01:30:00,6.1,817
Family,The Magician's Raincoat,0 days 01:20:00,5.5,80
