Genres,Title,Duration,Rating,Vote Count
Mystery,Nosferatu,0 days 02:12:00,7.3,175000
Mystery,Blink Twice,0 days 01:42:00,6.5,99000
Mystery,Paddington in Peru,0 days 01:46:00,6.7,16000
Mystery,Juror #2,0 days 01:54:00,7.0,90000
Mystery,Smile 2,0 days 02:07:00,6.7,96000
Mystery,The Watchers,0 days 01:42:00,5.7,55000
Mystery,Trap,0 days 01:45:00,5.8,128000
Mystery,F*** Marry Kill,0 days 01:37:00,5.2,1600
Mystery,The Rule of Jenny Pen,0 days 01:44:00,6.5,548
Mystery,Red One,0 days 02:03:00,6.3,137000
Mystery,Caddo Lake,0 days 01:43:00,6.8,40000
Mystery,Hellboy: The Crooked Man,0 days 01:39:00,4.5,12000
Mystery,It's What's Inside,0 days 01:43:00,6.6,40000
Mystery,Cuckoo,0 days 01:42:00,5.7,25000
Mystery,Love Lies Bleeding,0 days 01:44:00,6.6,55000
Mystery,Absolution,0 days 01:52:00,5.2,7300
Mystery,Sleeping Dogs,0 days 01:50:00,6.2,21000
Mystery,The Instigators,0 days 01:41:00,6.2,37000
Mystery,Blackwater Lane,0 days 01:48:00,4.6,1700
Mystery,Killer Heat,0 days 01:35:00,5.6,13000
Mystery,Time Cut,0 days 01:31:00,5.0,18000
Mystery,The Damned,0 days 01:29:00,5.7,3600
Mystery,Watchmen: Chapter I,0 days 01:23:00,7.0,6200
Mystery,Long Gone Heroes,0 days 01:41:00,5.2,944
Mystery,Exhuma,0 days 02:14:00,6.9,22000
Mystery,Die Alone,0 days 01:31:00,5.7,2500
Mystery,Monster Summer,0 days 01:37:00,5.7,3400
Mystery,Outbreak,0 days 01:28:00,4.5,793
Mystery,Afraid,0 days 01:24:00,5.2,13000
Mystery,The Dead Thing,0 days 01:34:00,4.7,776
Mystery,Boneyard,0 days 01:36:00,4.1,4800
Mystery,Watchmen: Chapter II,0 days 01:30:00,7.0,2700
Mystery,Night Swim,0 days 01:38:00,4.7,27000
Mystery,The Lost Daughter,0 days 01:39:00,5.8,275
Mystery,Damaged,0 days 01:37:00,4.7,7100
Mystery,Kishkindha Kaandam,0 days 02:13:00,8.0,11000
Mystery,Imaginary,0 days 01:44:00,4.7,17000
Mystery,Orion and the Dark,0 days 01:33:00,6.3,17000
Mystery,The Girl in the Pool,0 days 01:29:00,4.3,1400
Mystery,Force of Nature: The Dry 2,0 days 02:00:00,5.9,6600
Mystery,A Sacrifice,0 days 01:34:00,5.1,5000
Mystery,The Soul Eater,0 days 01:48:00,5.9,2400
Mystery,The Best Christmas Pageant Ever,0 days 01:39:00,6.8,6000
Mystery,The Sand Castle,0 days 01:38:00,4.7,1600
Mystery,Sookshma Darshini,0 days 02:22:00,7.8,9300
